City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
4,Huntsville,US,84.45,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville
5,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
18,Sweetwater,US,84.22,broken clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
21,Butaritari,KI,81.84,light rain,3.0707,172.7902,Isles Sunset Lodge
22,Nokha,IN,83.26,broken clouds,27.6,73.4167,Gurukarpa Hotel
25,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
26,Kailua,US,84.18,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
29,Victoria,HK,92.25,clear sky,22.2855,114.1577,Mini Central
31,Bikin,RU,89.08,light rain,46.8161,134.26,Azhur
35,Hilo,US,84.27,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Kavieng,PG,84.96,light rain,-2.5744,150.7967,Nusa Island Retreat
40,Bilma,NE,82.92,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
46,Kapaa,US,84.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Altay,CN,79.93,few clouds,47.8667,88.1167,Jinqiao Hotel
54,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
61,Hithadhoo,MV,82.8,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Labuhan,ID,86.47,overcast clouds,-6.8844,112.2051,DoubleFAG
69,Chengam,IN,84.02,broken clouds,12.3,78.8,Vanilla Restuarant Ac Bakery
70,Hamilton,US,76.57,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
72,Faanui,PF,78.6,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Cabo San Lucas,MX,86.5,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
