City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Oistins,BB,13.0667,-59.5333,80.69,74,40,19.57,scattered clouds
1,Okha,RU,53.5739,142.9478,63.72,70,28,13.69,scattered clouds
2,Williston,US,48.147,-103.618,66.31,57,7,5.39,clear sky
3,Yellowknife,CA,62.456,-114.3525,66.72,63,75,11.99,broken clouds
4,Huntsville,US,34.7304,-86.5861,84.45,71,0,10.0,clear sky
5,San Patricio,US,28.017,-97.5169,85.89,72,3,13.02,clear sky
6,Barrow,US,71.2906,-156.7887,33.82,100,100,13.8,light rain
7,Port Alfred,ZA,-33.5906,26.891,63.79,82,89,20.11,overcast clouds
8,Tonantins,BR,-2.8731,-67.8022,72.97,93,53,2.55,broken clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,51.1,57,100,15.99,overcast clouds
10,Ancud,CL,-41.8697,-73.8203,42.85,92,24,2.62,few clouds
11,Ponta Do Sol,PT,32.6667,-17.1,73.71,75,0,5.91,clear sky
12,New Norfolk,AU,-42.7826,147.0587,52.72,70,97,4.0,overcast clouds
13,Egvekinot,RU,66.3167,-179.1667,39.65,82,100,4.52,overcast clouds
14,Chuy,UY,-33.6971,-53.4616,60.3,97,100,6.91,light rain
15,Rikitea,PF,-23.1203,-134.9692,74.03,67,100,17.85,overcast clouds
16,Puerto Ayora,EC,-0.7393,-90.3518,69.55,96,98,10.0,overcast clouds
17,Hermanus,ZA,-34.4187,19.2345,53.8,79,0,12.21,clear sky
18,Sweetwater,US,25.7634,-80.3731,84.22,82,75,8.05,broken clouds
19,Hobart,AU,-42.8794,147.3294,53.06,63,93,1.99,overcast clouds
20,Saskylakh,RU,71.9167,114.0833,74.19,51,84,8.21,broken clouds
21,Butaritari,KI,3.0707,172.7902,81.84,78,11,12.53,light rain
22,Nokha,IN,27.6,73.4167,83.26,76,83,16.22,broken clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,100,11.5,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,40.66,81,75,18.41,light rain
25,Mitsamiouli,KM,-11.3847,43.2844,75.49,64,20,8.05,few clouds
26,Kailua,US,21.4022,-157.7394,84.18,68,0,9.22,clear sky
27,Nanortalik,GL,60.1432,-45.2371,42.3,85,97,9.48,overcast clouds
28,Antofagasta,CL,-23.65,-70.4,56.48,84,83,8.19,broken clouds
29,Victoria,HK,22.2855,114.1577,92.25,71,0,5.01,clear sky
30,Punta Arenas,CL,-53.15,-70.9167,39.31,75,20,26.46,few clouds
31,Bikin,RU,46.8161,134.26,89.08,51,55,4.68,light rain
32,Tuatapere,NZ,-46.1333,167.6833,44.69,93,100,3.65,light rain
33,Arraial Do Cabo,BR,-22.9661,-42.0278,67.96,83,0,8.05,clear sky
34,Vardo,NO,70.3705,31.1107,51.78,87,100,26.46,overcast clouds
35,Hilo,US,19.7297,-155.09,84.27,77,40,9.22,scattered clouds
36,Touros,BR,-5.1989,-35.4608,72.72,86,36,12.12,scattered clouds
37,Kayes,ML,14.0,-11.0,75.74,91,39,12.21,scattered clouds
38,Kavieng,PG,-2.5744,150.7967,84.96,72,25,18.16,light rain
39,Salym,RU,60.0625,71.4789,64.02,58,99,9.62,overcast clouds
40,Bilma,NE,18.6853,12.9164,82.92,58,81,8.72,broken clouds
41,Lusambo,CD,-4.9667,23.45,65.43,72,48,1.77,scattered clouds
42,Cape Town,ZA,-33.9258,18.4232,59.38,80,0,2.3,clear sky
43,Albany,US,42.6001,-73.9662,69.73,80,94,1.86,overcast clouds
44,Coihaique,CL,-45.5752,-72.0662,39.81,65,0,3.44,clear sky
45,Bethel,US,41.3712,-73.414,73.76,82,0,0.0,clear sky
46,Kapaa,US,22.0752,-159.319,84.18,74,20,16.11,light rain
47,Rio Grande,BR,-32.035,-52.0986,60.12,96,98,7.38,overcast clouds
48,Busselton,AU,-33.65,115.3333,64.51,68,27,12.55,scattered clouds
49,Kaitangata,NZ,-46.2817,169.8464,44.8,93,100,7.58,overcast clouds
50,Bluff,NZ,-46.6,168.3333,47.8,86,100,11.52,overcast clouds
51,Litovko,RU,49.2361,135.1742,82.49,68,99,5.32,overcast clouds
52,Mataura,NZ,-46.1927,168.8643,47.48,98,100,3.78,overcast clouds
53,Altay,CN,47.8667,88.1167,79.93,24,11,5.61,few clouds
54,Avarua,CK,-21.2078,-159.775,77.05,69,40,12.66,scattered clouds
55,Fairbanks,US,64.8378,-147.7164,62.02,60,75,13.8,broken clouds
56,Saverne,FR,48.8333,7.25,60.93,69,93,5.32,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,18.41,broken clouds
58,Zambezi,ZM,-13.5432,23.1047,49.48,64,98,5.44,overcast clouds
59,Souillac,MU,-20.5167,57.5167,68.38,88,40,6.91,light rain
60,Manta,EC,-0.95,-80.7333,71.38,88,100,9.22,overcast clouds
61,Hithadhoo,MV,-0.6,73.0833,82.8,73,100,11.79,overcast clouds
62,Okhotsk,RU,59.3833,143.3,66.15,74,28,7.25,scattered clouds
63,Nikolskoye,RU,59.7035,30.7861,61.88,75,0,4.56,clear sky
64,Qaqortoq,GL,60.7167,-46.0333,41.7,89,14,1.95,few clouds
65,Ulagan,RU,50.6321,87.9563,72.48,39,7,1.9,clear sky
66,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.91,87,99,13.69,overcast clouds
67,Labuhan,ID,-6.8844,112.2051,86.47,60,99,7.49,overcast clouds
68,Mount Isa,AU,-20.7333,139.5,74.97,23,31,12.66,scattered clouds
69,Chengam,IN,12.3,78.8,84.02,66,82,2.46,broken clouds
70,Hamilton,US,39.1834,-84.5333,76.57,91,0,3.44,clear sky
71,Cherskiy,RU,68.75,161.3,55.31,47,99,6.15,overcast clouds
72,Faanui,PF,-16.4833,-151.75,78.6,76,14,25.39,light rain
73,Cabo San Lucas,MX,22.8909,-109.9124,86.5,69,44,10.29,scattered clouds
74,Hambantota,LK,6.1241,81.1185,77.34,100,20,4.61,few clouds
75,Grand Gaube,MU,-20.0064,57.6608,69.39,77,3,3.0,clear sky
76,Pavlodar,KZ,52.3,76.95,78.6,41,20,26.84,few clouds
77,Port Elizabeth,ZA,-33.918,25.5701,56.32,98,75,3.0,broken clouds
78,Tasiilaq,GL,65.6145,-37.6368,41.16,96,92,5.53,overcast clouds
79,Crown Point,US,41.417,-87.3653,72.01,92,0,5.75,clear sky
80,Dikson,RU,73.5069,80.5464,40.55,94,61,13.49,broken clouds
81,Autazes,BR,-3.5797,-59.1306,74.91,72,33,2.04,scattered clouds
82,Kalmar,SE,56.6616,16.3616,57.96,92,40,3.44,scattered clouds
83,Poopo,BO,-18.3667,-66.9667,43.43,26,6,2.86,clear sky
84,Tiksi,RU,71.6872,128.8694,70.43,56,90,7.54,overcast clouds
85,Ribeira Grande,PT,38.5167,-28.7,72.52,83,25,9.42,scattered clouds
86,Pervomayskoye,RU,43.919,46.7102,73.81,67,16,6.02,few clouds
87,Roros,NO,62.5747,11.3842,42.64,81,100,2.3,overcast clouds
88,Mormugao,IN,15.4,73.8,78.06,89,75,5.75,heavy intensity rain
89,Lebu,CL,-37.6167,-73.65,48.58,85,21,4.79,few clouds
90,Kalabagh,PK,32.965,71.557,90.25,61,97,3.87,overcast clouds
91,Jalu,LY,29.0331,21.5482,79.39,48,0,6.2,clear sky
92,Solnechnyy,RU,50.7214,136.6319,81.05,57,100,5.84,overcast clouds
93,Bubaque,GW,11.2833,-15.8333,79.9,77,99,7.23,overcast clouds
94,Brae,GB,60.3964,-1.353,51.24,80,61,6.64,broken clouds
95,Jamestown,US,42.097,-79.2353,72.99,74,100,6.91,overcast clouds
96,Bambous Virieux,MU,-20.3428,57.7575,69.22,88,40,6.91,scattered clouds
97,Qaanaaq,GL,77.484,-69.3632,36.48,94,45,2.39,scattered clouds
98,Dourbali,TD,11.8091,15.8632,72.77,88,99,4.97,overcast clouds
99,Bali Chak,IN,22.3667,87.55,90.34,59,100,6.46,overcast clouds
100,Zhuhai,CN,22.2769,113.5678,100.85,74,20,5.75,few clouds
101,Road Town,VG,18.4167,-64.6167,80.69,72,0,20.22,clear sky
102,Tamboril,DO,19.4854,-70.611,74.17,88,20,4.61,few clouds
103,Tadine,NC,-21.55,167.8833,71.55,70,91,12.95,overcast clouds
104,Ilulissat,GL,69.2167,-51.1,44.62,93,100,1.14,overcast clouds
105,Bagdarin,RU,54.4333,113.6,54.86,96,100,3.96,light rain
106,Mainaguri,IN,26.5667,88.8167,84.4,77,95,5.59,overcast clouds
107,Kodiak,US,57.79,-152.4072,56.71,62,0,8.05,clear sky
108,Saldanha,ZA,-33.0117,17.9442,42.85,69,0,7.58,clear sky
109,Erzin,TR,36.9559,36.2,80.2,47,0,0.49,clear sky
110,Quatre Cocos,MU,-20.2078,57.7625,69.1,77,24,11.07,few clouds
111,Pirai Do Sul,BR,-24.5261,-49.9486,56.84,83,73,1.43,broken clouds
112,Itarema,BR,-2.9248,-39.9167,77.79,83,83,14.34,broken clouds
113,Beloha,MG,-25.1667,45.05,57.76,80,0,4.79,clear sky
114,Araceli,PH,10.5529,119.9913,84.42,73,91,8.72,overcast clouds
115,Margate,GB,51.3813,1.3862,62.91,75,100,3.0,overcast clouds
116,Cidreira,BR,-30.1811,-50.2056,61.11,88,100,4.81,overcast clouds
117,Vila Velha,BR,-20.3297,-40.2925,65.95,90,20,1.14,few clouds
118,Carnarvon,AU,-24.8667,113.6333,74.66,47,100,4.16,overcast clouds
119,Khatanga,RU,71.9667,102.5,72.39,45,94,4.09,overcast clouds
120,Causapscal,CA,48.3542,-67.227,59.43,88,88,1.95,overcast clouds
121,Dakar,SN,14.6937,-17.4441,82.53,78,75,6.91,broken clouds
122,Aden,YE,12.7794,45.0367,82.76,76,17,4.72,few clouds
123,Lazaro Cardenas,MX,17.9583,-102.2,79.9,80,100,4.03,overcast clouds
124,Lensk,RU,60.7253,114.9278,91.26,37,2,10.76,clear sky
125,Esperance,AU,-33.8667,121.9,65.82,45,2,16.2,clear sky
126,Altamont,US,42.2068,-121.7372,89.44,29,0,13.8,clear sky
127,Norman Wells,CA,65.282,-126.8329,64.44,55,75,3.44,broken clouds
128,Karratha,AU,-20.7377,116.8463,79.86,36,0,18.14,clear sky
129,Olovyannaya,RU,50.95,115.5667,71.53,47,11,8.12,few clouds
130,Qasigiannguit,GL,68.8193,-51.1922,44.85,94,100,0.38,overcast clouds
131,Marzuq,YE,14.4,46.4667,81.07,43,96,5.88,overcast clouds
132,Castro,BR,-24.7911,-50.0119,56.53,80,90,2.75,overcast clouds
133,Simao,CN,22.7886,100.9748,76.73,76,100,2.06,light rain
134,Ribeira Brava,PT,32.65,-17.0667,73.71,74,0,4.72,clear sky
135,Saint-Philippe,RE,-21.3585,55.7679,67.59,85,38,10.11,light rain
136,Clyde River,CA,70.4692,-68.5914,37.63,100,100,5.75,light rain
137,Hokitika,NZ,-42.7167,170.9667,49.84,86,100,5.61,overcast clouds
138,Alice Springs,AU,-23.7,133.8833,69.22,32,1,10.36,clear sky
139,Atuona,PF,-9.8,-139.0333,77.63,73,21,24.16,light rain
140,Airai,TL,-8.9266,125.4092,71.01,46,13,5.44,few clouds
141,Matay,EG,28.419,30.7792,79.21,34,0,7.74,clear sky
142,Aloleng,PH,16.1307,119.7824,85.19,73,100,6.11,overcast clouds
143,Avera,US,33.194,-82.5271,81.55,62,59,7.43,broken clouds
144,Khandbari,NP,27.3747,87.2039,72.9,91,100,1.28,overcast clouds
145,Inhambane,MZ,-23.865,35.3833,57.18,94,40,0.0,scattered clouds
146,Vaini,TO,-21.2,-175.2,78.96,83,20,10.36,few clouds
147,College,US,64.8569,-147.8028,61.59,59,75,13.8,broken clouds
