City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,69.37,67,0,6.85,US,2022-07-26 03:06:32
1,Ketchikan,55.3422,-131.6461,66.67,72,20,10.36,US,2022-07-26 03:06:52
2,Busselton,-33.65,115.3333,61.52,80,100,17.81,AU,2022-07-26 03:08:00
3,Bambous Virieux,-20.3428,57.7575,67.21,94,75,3.44,MU,2022-07-26 03:08:01
4,Cape Town,-33.9258,18.4232,59.11,60,4,3.85,ZA,2022-07-26 03:08:01
5,Chitose,42.8194,141.6522,82.09,78,75,11.5,JP,2022-07-26 03:08:02
6,Ushuaia,-54.8,-68.3,33.46,64,40,6.91,AR,2022-07-26 03:05:15
7,Saskylakh,71.9167,114.0833,73.99,60,94,6.55,RU,2022-07-26 03:08:03
8,Rikitea,-23.1203,-134.9692,75.52,73,57,10.94,PF,2022-07-26 03:08:03
9,Bredasdorp,-34.5322,20.0403,47.14,61,0,5.37,ZA,2022-07-26 03:06:19
10,Bathsheba,13.2167,-59.5167,83.01,94,75,13.8,BB,2022-07-26 03:08:04
11,Hermanus,-34.4187,19.2345,55.27,49,0,8.3,ZA,2022-07-26 03:08:05
12,Huarmey,-10.0681,-78.1522,63.18,85,100,9.42,PE,2022-07-26 03:08:06
13,Nisia Floresta,-6.0911,-35.2086,70.61,90,72,9.4,BR,2022-07-26 03:08:06
14,Turayf,31.6725,38.6637,76.82,32,0,6.17,SA,2022-07-26 03:08:06
15,Pilar,-9.5972,-35.9567,69.73,89,31,1.83,BR,2022-07-26 03:03:28
16,Coahuayana,18.7333,-103.6833,77.92,90,86,1.92,MX,2022-07-26 03:03:50
17,Bluff,-46.6,168.3333,45.81,90,100,26.71,NZ,2022-07-26 03:08:07
18,Marawi,7.9986,124.2928,82.51,63,97,2.64,PH,2022-07-26 03:08:07
19,Danilov,58.1908,40.1717,62.29,96,44,4.21,RU,2022-07-26 03:08:08
20,New Norfolk,-42.7826,147.0587,60.93,78,98,1.01,AU,2022-07-26 03:08:08
21,Butaritari,3.0707,172.7902,82.54,70,99,15.05,KI,2022-07-26 03:06:51
22,Kargasok,59.0556,80.8572,60.94,80,100,7.16,RU,2022-07-26 03:08:10
23,Mar Del Plata,-38.0023,-57.5575,55.09,98,100,18.01,AR,2022-07-26 03:08:10
24,Barrow,71.2906,-156.7887,35.62,93,100,28.77,US,2022-07-26 03:08:11
25,Bubaque,11.2833,-15.8333,78.39,81,85,11.74,GW,2022-07-26 03:08:11
26,Chokurdakh,70.6333,147.9167,64.02,31,51,14.38,RU,2022-07-26 03:08:11
27,Pevek,69.7008,170.3133,38.26,74,75,16.33,RU,2022-07-26 03:04:58
28,Mulki,13.1,74.8,78.08,83,75,4.61,IN,2022-07-26 03:08:12
29,Lorengau,-2.0226,147.2712,84.13,70,73,9.57,PG,2022-07-26 03:06:42
30,Charters Towers,-20.1,146.2667,73.8,48,0,4.81,AU,2022-07-26 03:08:13
31,Iqaluit,63.7506,-68.5145,41.7,93,69,5.01,CA,2022-07-26 03:06:37
32,Katsuura,35.1333,140.3,80.71,87,100,17.18,JP,2022-07-26 03:08:13
33,Paamiut,61.994,-49.6678,43.56,93,100,2.93,GL,2022-07-26 03:08:14
34,Estevan,49.1334,-102.9842,62.94,88,95,10.33,CA,2022-07-26 03:08:14
35,Iskateley,67.6803,53.1512,48.11,91,100,19.93,RU,2022-07-26 03:08:14
36,Yarovoye,52.9273,78.58,74.16,38,0,6.26,RU,2022-07-26 03:08:15
37,Naze,28.3667,129.4833,82.42,73,25,6.29,JP,2022-07-26 03:08:16
38,Puerto Ayora,-0.7393,-90.3518,70.56,92,97,5.99,EC,2022-07-26 03:06:41
39,Morant Bay,17.8815,-76.4093,82.02,83,79,9.44,JM,2022-07-26 03:08:16
40,Lethem,3.3803,-59.7968,74.23,93,97,5.84,GY,2022-07-26 03:08:17
41,Yellowknife,62.456,-114.3525,65.25,47,11,8.93,CA,2022-07-26 03:07:30
42,Whitehorse,60.7161,-135.0538,58.98,79,57,11.39,CA,2022-07-26 03:06:38
43,Kaitangata,-46.2817,169.8464,44.83,93,100,17.25,NZ,2022-07-26 03:08:17
44,Atuona,-9.8,-139.0333,77.58,69,0,10.02,PF,2022-07-26 03:05:17
45,Upernavik,72.7868,-56.1549,38.08,90,79,9.4,GL,2022-07-26 03:06:47
46,Bambanglipuro,-7.95,110.2833,80.2,64,87,9.46,ID,2022-07-26 03:09:18
47,Klaksvik,62.2266,-6.589,47.32,82,32,7.85,FO,2022-07-26 03:07:25
48,Souillac,-20.5167,57.5167,66.58,94,75,3.44,MU,2022-07-26 03:09:19
49,Srednekolymsk,67.45,153.6833,64.67,30,88,14.88,RU,2022-07-26 03:07:03
50,Zhigansk,66.7697,123.3711,73.11,46,16,2.39,RU,2022-07-26 03:09:19
51,Mataura,-46.1927,168.8643,45.48,97,100,10.85,NZ,2022-07-26 03:09:20
52,Barra Do Garcas,-15.89,-52.2567,69.57,42,1,3.4,BR,2022-07-26 03:09:20
53,Ornskoldsvik,63.2909,18.7153,61.75,100,100,9.22,SE,2022-07-26 03:07:58
54,Berlevag,70.8578,29.0864,55.4,88,100,10.36,NO,2022-07-26 03:09:21
55,Puerto Ayacucho,5.6639,-67.6236,72.48,95,82,1.72,VE,2022-07-26 03:09:21
56,Shakawe,-18.3667,21.85,54.34,49,3,3.4,BW,2022-07-26 03:09:22
57,Hithadhoo,-0.6,73.0833,83.12,74,23,13.65,MV,2022-07-26 03:06:18
58,Tukrah,32.5341,20.5791,77.2,84,0,5.14,LY,2022-07-26 03:09:22
59,Kuusamo,65.9667,29.1833,60.84,77,0,13.8,FI,2022-07-26 03:09:23
60,Ponta Do Sol,32.6667,-17.1,81.23,41,99,6.91,PT,2022-07-26 03:09:23
61,Novoagansk,61.9449,76.6625,62.33,71,99,4.72,RU,2022-07-26 03:09:23
62,Port Blair,11.6667,92.75,86.04,74,40,5.75,IN,2022-07-26 03:09:24
63,Punta Arenas,-53.15,-70.9167,32.11,74,20,8.05,CL,2022-07-26 03:08:41
64,Port Alfred,-33.5906,26.891,53.28,77,0,13.89,ZA,2022-07-26 03:07:06
65,Manono,-7.3,27.4167,75.79,38,99,7.61,CD,2022-07-26 03:09:24
66,Thompson,55.7435,-97.8558,51.64,96,100,4.63,CA,2022-07-26 03:09:25
67,Castro,-24.7911,-50.0119,57.69,74,61,2.8,BR,2022-07-26 03:09:25
68,Christchurch,-43.5333,172.6333,50.92,97,100,13.8,NZ,2022-07-26 03:05:33
69,Tuktoyaktuk,69.4541,-133.0374,58.1,58,77,17.11,CA,2022-07-26 03:09:26
70,Vila Velha,-20.3297,-40.2925,66.94,94,40,0.0,BR,2022-07-26 03:07:36
